h_mean,h_std,h_min,h_max,h_range,ud_mean,ud_std,ud_min,ud_max,ud_range,dd_mean,dd_std,dd_min,dd_max,dd_range,h_ud_ratio,h_dd_ratio,label
0.1157818181818182,0.022530282651658774,0.0742,0.1491,0.07490000000000001,0.42045000000000005,0.49208220236957245,0.0135,1.4909,1.4773999999999998,0.54039,0.4939227525073576,0.1484,1.6055,1.4570999999999998,0.2753752950565421,0.2142556374584665,1
0.1001,0.029165356161034616,0.0689,0.157,0.0881,0.33136,0.36303142869760224,0.0449,1.1141,1.0692000000000002,0.434,0.36133636530093244,0.1283,1.197,1.0687,0.302087451450231,0.2306446298510833,1
0.11110909090909092,0.02982577591766741,0.0731,0.1621,0.089,0.28249,0.30427470939560153,0.056,0.96,0.9039999999999999,0.39526,0.298385057713463,0.1291,1.0408,0.9117,0.3933190470106691,0.2811030962050163,1
0.1054,0.023855942655866692,0.0813,0.1457,0.0644,0.35669,0.4105637410250015,0.0172,1.1651,1.1479,0.46449999999999997,0.4057227049763587,0.153,1.2564,1.1034,0.29549385883019197,0.22691016811589212,1
0.0925818181818182,0.02576380477265803,0.043,0.1312,0.08820000000000001,0.30023000000000005,0.3149998308641521,0.027,0.8213,0.7943,0.39389,0.3118512303789884,0.1582,0.8955,0.7373,0.30836861677114685,0.23504425889857397,1
0.10094545454545455,0.03269649411286671,0.0591,0.1681,0.109,0.26846,0.35399146945151716,0.0133,0.9954,0.9821,0.37359,0.34835017008751407,0.1287,1.0896,0.9608999999999999,0.3760153413175641,0.2702031219848834,1
0.09476363636363637,0.01816090706585289,0.0782,0.1318,0.053599999999999995,0.25875,0.3662392698466097,-0.0114,1.115,1.1264,0.35409,0.35855632580917846,0.1204,1.2005,1.0800999999999998,0.3662348604010666,0.26762509175222293,1
0.09484545454545455,0.02267034907699322,0.0679,0.1373,0.0694,0.23358000000000004,0.33114994186923846,-0.0282,1.0503,1.0785,0.33111999999999997,0.34074874027646823,0.104,1.1876,1.0836,0.4060495269112408,0.286437448985279,1
0.08942727272727272,0.018226359532780588,0.0634,0.1262,0.06280000000000001,0.22004,0.29413737229018994,0.0141,0.8606,0.8465,0.31206999999999996,0.28596148944297456,0.126,0.9406,0.8146,0.40641186291315123,0.28656066320572154,1
0.10221818181818182,0.023470953034839395,0.0731,0.1463,0.07320000000000002,0.21273999999999998,0.2651203550591064,-0.0301,0.7239,0.754,0.31652,0.2547375154502724,0.1162,0.8065,0.6903,0.4804818150623614,0.32294281206675646,1
0.09646363636363636,0.02788925501791945,0.0692,0.1682,0.09899999999999999,0.22213000000000002,0.2666749250804557,-0.118,0.7311,0.8491,0.32032,0.251277778121699,0.0502,0.8135,0.7633,0.4342646292666776,0.30114677577691246,1
0.09137272727272726,0.02404225825121637,0.0713,0.1465,0.07519999999999999,0.24583000000000005,0.2846060515090211,0.0027,0.8323,0.8296,0.33855,0.2778106399450292,0.1391,0.9155,0.7764,0.37168919815941537,0.26989353826373946,1
0.09835454545454544,0.025238595984577415,0.0489,0.1404,0.0915,0.25339999999999996,0.31616883323805195,0.0177,0.9944,0.9766999999999999,0.35669999999999996,0.31088926217116813,0.1349,1.0995,0.9645999999999999,0.388137953104153,0.27573386521076604,1
0.09031818181818183,0.030697160070007067,0.0318,0.1399,0.1081,0.2947,0.2678595361586201,0.0602,0.855,0.7948,0.39087,0.2591521005552959,0.16,0.9165,0.7565,0.3064739577340485,0.23106902742383506,1
0.10755454545454546,0.02364353457655448,0.0739,0.1434,0.0695,0.42333,0.48673503412477354,-0.0351,1.2535,1.2886,0.5286299999999999,0.4811797493891677,0.1083,1.3501,1.2418,0.2540672557751392,0.2034586421427148,1
0.09809090909090909,0.025365427437575524,0.0631,0.1338,0.0707,0.18835,0.24076155677811653,0.0183,0.7266,0.7083,0.28994,0.22657803757449904,0.1381,0.8047,0.6666,0.520787832774496,0.3383133433729935,1
0.10087272727272728,0.025457693961122674,0.076,0.164,0.08800000000000001,0.21982999999999997,0.2869884436310594,-0.0454,0.7544,0.7998,0.32308,0.2843645930452274,0.1186,0.8525,0.7339,0.45886488835845396,0.31222116829131796,1
0.0935818181818182,0.022410748233016153,0.0692,0.131,0.06180000000000001,0.22008,0.2525216901574992,-0.0565,0.6874,0.7439,0.31492,0.2479311723487432,0.0697,0.77,0.7003,0.425215344267875,0.2971596628418499,1
0.0917090909090909,0.016838494858238046,0.056,0.1177,0.0617,0.24464999999999998,0.24653345164049803,-0.0765,0.6966,0.7731,0.33679000000000003,0.244030045736631,0.0135,0.7784,0.7649,0.37485679972324215,0.27230267705814853,1
0.09478181818181818,0.0180402227359763,0.0729,0.1299,0.05699999999999998,0.26657000000000003,0.23229680750664178,0.0689,0.6413,0.5724,0.36299000000000003,0.23104496171380437,0.1418,0.7332,0.5913999999999999,0.355559375107638,0.26111341102621877,1
0.0859,0.026946502555990452,0.0246,0.1396,0.115,0.20541,0.20489354119205963,0.0228,0.6418,0.619,0.29114,0.19662257810898073,0.1374,0.7165,0.5791000000000001,0.4181859783555895,0.29504604298260984,1
0.09173636363636363,0.01680906140908961,0.0726,0.1259,0.053300000000000014,0.19285000000000002,0.21609694969311036,0.0114,0.6927,0.6813,0.28555,0.20978757112851085,0.1349,0.7674,0.6325,0.47568518512407826,0.321260873316373,1
0.09095454545454545,0.022177392255915196,0.0679,0.1243,0.05639999999999999,0.22235999999999997,0.23567141532226601,0.0201,0.7732,0.7531,0.3154100000000001,0.23019913818740118,0.1362,0.8558,0.7196,0.40904000905979676,0.2883683367242913,1
0.09213636363636364,0.02165909844510028,0.0723,0.1307,0.05840000000000001,0.22911,0.24209428581076056,0.0106,0.7835,0.7728999999999999,0.32225000000000004,0.23197978479935608,0.131,0.8622,0.7312,0.40214727200511385,0.2859149037128314,1
0.09699090909090909,0.03310043669033551,0.0415,0.1584,0.1169,0.26034999999999997,0.21635993287934704,0.046,0.6495,0.6034999999999999,0.35783000000000004,0.2117724515186577,0.1567,0.7414,0.5847,0.3725390303509843,0.27105228191774633,1
